ID,Product Name,Link,Product Image,Price,Details,Categories,Gender
21,KNIT SWEATER WITH ZIP,https://www.zara.com/in/en/knit-sweater-with-zip-p05536155.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5536/155/401/2/w/448/5536155401_1_1_1.jpg?ts=1693222806360': 'Image 0 of KNIT SWEATER WITH ZIP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5536/155/401/2/w/448/5536155401_2_1_1.jpg?ts=1693222806482': 'Image 1 of KNIT SWEATER WITH ZIP from Zara'}]","₹3,290.00","Sweater made of a viscose blend. Featuring a high neck with metal zip, long sleeves and matching ribbed trims.",Sweater,Women
22,CASHMERE KNIT SWEATER,https://www.zara.com/in/en/cashmere-knit-sweater-p06771126.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6771/126/200/2/w/448/6771126200_1_1_1.jpg?ts=1692790315045': 'Image 0 of CASHMERE KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6771/126/200/2/w/448/6771126200_2_1_1.jpg?ts=1692790313739': 'Image 1 of CASHMERE KNIT SWEATER from Zara'}]","₹11,990.00",Sweater made of a cashmere and wool blend. Round neck and long sleeves. Matching ribbed trims.,Sweater,Women
23,WOOL BLEND BOXY-FIT KNIT SWEATER,https://www.zara.com/in/en/wool-blend-boxy-fit-knit-sweater-p03039102.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3039/102/527/17/w/448/3039102527_1_1_1.jpg?ts=1692892870664': 'Image 0 of WOOL BLEND BOXY-FIT KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3039/102/527/17/w/448/3039102527_2_1_1.jpg?ts=1692892867500': 'Image 1 of WOOL BLEND BOXY-FIT KNIT SWEATER from Zara'}]","₹3,990.00",Knit sweater made of a wool blend. Round neck and long sleeves. Matching ribbed trims.,Sweater,Women
24,CROPPED KNIT SWEATER,https://www.zara.com/in/en/cropped-knit-sweater-p05536125.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5536/125/809/2/w/448/5536125809_1_1_1.jpg?ts=1693222633500': 'Image 0 of CROPPED KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5536/125/809/2/w/448/5536125809_2_1_1.jpg?ts=1693222633527': 'Image 1 of CROPPED KNIT SWEATER from Zara'}]","₹2,990.00",Cropped sweater with a round neck and long sleeves. Matching ribbed trims.,Sweater,Women
25,OPEN KNIT POLO SWEATER,https://www.zara.com/in/en/open-knit-polo-sweater-p06427117.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6427/117/712/2/w/448/6427117712_1_1_1.jpg?ts=1692869351811': 'Image 0 of OPEN KNIT POLO SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6427/117/712/2/w/448/6427117712_2_1_1.jpg?ts=1692869351537': 'Image 1 of OPEN KNIT POLO SWEATER from Zara'}]","₹2,990.00",Polo sweater with a Johnny collar and long sleeves. Ribbed trims.,Sweater,Women
26,BASIC KNIT SWEATER,https://www.zara.com/in/en/basic-knit-sweater-p01509115.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1509/115/108/17/w/448/1509115108_1_1_1.jpg?ts=1692352262228': 'Image 0 of BASIC KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1509/115/108/17/w/448/1509115108_2_1_1.jpg?ts=1692352259659': 'Image 1 of BASIC KNIT SWEATER from Zara'}]",₹990.00,"Round neck sweater featuring long sleeves, side vents at the hem and ribbed trims.",Sweater,Women
27,100% WOOL KNIT SWEATER,https://www.zara.com/in/en/100-wool-knit-sweater-p02893106.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2893/106/809/4/w/448/2893106809_1_1_1.jpg?ts=1692271338379': 'Image 0 of 100% WOOL KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2893/106/809/4/w/448/2893106809_2_1_1.jpg?ts=1692271049473': 'Image 1 of 100% WOOL KNIT SWEATER from Zara'}]","₹4,990.00","Sweater made of 100% wool. Featuring a round neckline, long sleeves and ribbed trims.",Sweater,Women
28,BASIC KNIT SWEATER,https://www.zara.com/in/en/basic-knit-sweater-p08851121.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8851/121/800/10/w/448/8851121800_1_1_1.jpg?ts=1692271054086': 'Image 0 of BASIC KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8851/121/800/10/w/448/8851121800_2_1_1.jpg?ts=1692271049482': 'Image 1 of BASIC KNIT SWEATER from Zara'}]","₹1,890.00",Round neck sweater with long sleeves and decorative gold buttons. Ribbed trims.,Sweater,Women
29,BASIC HIGH NECK KNIT SWEATER,https://www.zara.com/in/en/basic-high-neck-knit-sweater-p08851123.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8851/123/800/22/w/448/8851123800_1_1_1.jpg?ts=1693219160353': 'Image 0 of BASIC HIGH NECK KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8851/123/800/22/w/448/8851123800_2_1_1.jpg?ts=1693219160248': 'Image 1 of BASIC HIGH NECK KNIT SWEATER from Zara'}]","₹1,890.00","Sweater featuring a high neck, long sleeves with decorative metal buttons and ribbed trims.",Sweater,Women
30,STRIPED KNIT SWEATER,https://www.zara.com/in/en/striped-knit-sweater-p03433011.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3433/011/066/17/w/448/3433011066_1_1_1.jpg?ts=1692352267261': 'Image 0 of STRIPED KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3433/011/066/17/w/448/3433011066_2_1_1.jpg?ts=1692352260061': 'Image 1 of STRIPED KNIT SWEATER from Zara'}]","₹2,290.00",Round neck sweater with long sleeves.,Sweater,Women
31,V-NECK CABLE-KNIT SWEATER,https://www.zara.com/in/en/v-neck-cable-knit-sweater-p01509111.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1509/111/401/2/w/448/1509111401_1_1_1.jpg?ts=1691580359390': 'Image 0 of V-NECK CABLE-KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1509/111/401/2/w/448/1509111401_2_1_1.jpg?ts=1691580361027': 'Image 1 of V-NECK CABLE-KNIT SWEATER from Zara'}]","₹2,990.00",Long sleeve V-neck sweater.,Sweater,Women
32,100% WOOL KNIT POLO SWEATER,https://www.zara.com/in/en/100-wool-knit-polo-sweater-p09598170.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9598/170/802/2/w/448/9598170802_1_1_1.jpg?ts=1692790313373': 'Image 0 of 100% WOOL KNIT POLO SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9598/170/802/2/w/504/9598170802_2_1_1.jpg?ts=1692790315858': 'Image 1 of 100% WOOL KNIT POLO SWEATER from Zara'}]","₹4,990.00","Fitted sweater made of 100% extra soft wool. Featuring a polo collar, long sleeves and front button fastening.",Sweater,Women
33,CASHMERE KNIT SWEATER,https://www.zara.com/in/en/cashmere-knit-sweater-p03644104.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3644/104/807/18/w/448/3644104807_1_1_1.jpg?ts=1692201089694': 'Image 0 of CASHMERE KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3644/104/807/2/w/448/3644104807_6_1_1.jpg?ts=1691581507403': 'Image 1 of CASHMERE KNIT SWEATER from Zara'}]","₹10,990.00",Sweater made of a cashmere blend. Featuring a V-neck and long sleeves.,Sweater,Women
